Bandit,Reward,Algorithm
3,5.843655204743889,EpsilonGreedyBandit
3,2.14218328738856,EpsilonGreedyBandit
3,5.0968149505340925,EpsilonGreedyBandit
3,5.999665897928761,EpsilonGreedyBandit
3,4.794762739016988,EpsilonGreedyBandit
3,2.8721167019891567,EpsilonGreedyBandit
3,3.409676792807048,EpsilonGreedyBandit
0,-0.9702773740808954,EpsilonGreedyBandit
3,2.486693398970486,EpsilonGreedyBandit
3,5.049894019781872,EpsilonGreedyBandit
3,2.6142127950291547,EpsilonGreedyBandit
3,4.33033404520311,EpsilonGreedyBandit
3,3.8954169085512103,EpsilonGreedyBandit
3,2.6243779939566663,EpsilonGreedyBandit
3,4.3536927926018905,EpsilonGreedyBandit
3,4.207252336642465,EpsilonGreedyBandit
3,3.1306816577022243,EpsilonGreedyBandit
3,4.233749779674136,EpsilonGreedyBandit
3,5.325914780253217,EpsilonGreedyBandit
3,2.2499803372967557,EpsilonGreedyBandit
3,5.26485269940954,EpsilonGreedyBandit
3,3.936075384982789,EpsilonGreedyBandit
3,5.819874148487166,EpsilonGreedyBandit
3,3.4375945459676718,EpsilonGreedyBandit
3,3.723857539186464,EpsilonGreedyBandit
3,3.8897142310811805,EpsilonGreedyBandit
3,3.1404217399164738,EpsilonGreedyBandit
3,3.852028829448896,EpsilonGreedyBandit
3,5.364153478592048,EpsilonGreedyBandit
3,4.8074258952453155,EpsilonGreedyBandit
3,3.1828099985807006,EpsilonGreedyBandit
3,2.392234649892953,EpsilonGreedyBandit
3,6.066389732826121,EpsilonGreedyBandit
3,3.4363932987009744,EpsilonGreedyBandit
3,3.4381534112014593,EpsilonGreedyBandit
3,3.700532848035083,EpsilonGreedyBandit
3,3.024826381992791,EpsilonGreedyBandit
3,4.6556574370157975,EpsilonGreedyBandit
3,4.125839073969384,EpsilonGreedyBandit
3,5.231223633379374,EpsilonGreedyBandit
3,2.9620890805105713,EpsilonGreedyBandit
3,3.751170742330005,EpsilonGreedyBandit
3,4.897327944751673,EpsilonGreedyBandit
3,2.5576471478505636,EpsilonGreedyBandit
3,4.430829815991253,EpsilonGreedyBandit
3,3.322509890792021,EpsilonGreedyBandit
3,3.9584092252670704,EpsilonGreedyBandit
3,2.91589893275765,EpsilonGreedyBandit
3,2.859649030475512,EpsilonGreedyBandit
3,6.066487628885867,EpsilonGreedyBandit
3,4.940175676418737,EpsilonGreedyBandit
3,3.89364406451677,EpsilonGreedyBandit
3,2.521375652067141,EpsilonGreedyBandit
3,3.5551897985965506,EpsilonGreedyBandit
3,4.627979596416439,EpsilonGreedyBandit
3,2.658279641702198,EpsilonGreedyBandit
3,3.3342116194155857,EpsilonGreedyBandit
3,2.334757251061494,EpsilonGreedyBandit
3,3.3757624119796894,EpsilonGreedyBandit
3,1.9498257494136628,EpsilonGreedyBandit
3,3.426221830193722,EpsilonGreedyBandit
3,4.135971739232589,EpsilonGreedyBandit
3,4.840486242913684,EpsilonGreedyBandit
3,2.1760253942130996,EpsilonGreedyBandit
3,4.700424694783211,EpsilonGreedyBandit
3,4.5696275800263315,EpsilonGreedyBandit
3,3.967141345629612,EpsilonGreedyBandit
3,1.6024014129662683,EpsilonGreedyBandit
3,4.174551727030993,EpsilonGreedyBandit
3,4.141071979736984,EpsilonGreedyBandit
3,5.731894062290399,EpsilonGreedyBandit
3,5.3291651809494365,EpsilonGreedyBandit
3,4.653477740752233,EpsilonGreedyBandit
3,3.125818587152435,EpsilonGreedyBandit
3,1.9002874624698025,EpsilonGreedyBandit
3,2.7947074638151603,EpsilonGreedyBandit
